date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:36:05	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2007%20May%202021%2010:36:05%20GMT	https://www.greenheartcbd.io/robots.txt		(from )
04:36:05	40345/40345	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20May%202021%2010:36:05%20GMT	https://www.greenheartcbd.io/	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/index.html	(from )
04:36:06	73029/73029	---M--	200	added ('OK')	text/css	etag:%2263e0042-11d45-5c0d93de0201a%22	https://www.greenheartcbd.io/assets/css/animate.css	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/css/animate.css	(from https://www.greenheartcbd.io/)
04:36:06	31002/31002	---M--	200	added ('OK')	text/css	etag:%2263e0040-791a-5c0d93de01c32%22	https://www.greenheartcbd.io/assets/css/font-awesome.min.css	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/css/font-awesome.min.css	(from https://www.greenheartcbd.io/)
04:36:07	144883/144883	---M--	200	added ('OK')	text/css	etag:%2263e004b-235f3-5c0d93de02bd2%22	https://www.greenheartcbd.io/assets/bootstrap/css/bootstrap.min.css	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/bootstrap/css/bootstrap.min.css	(from https://www.greenheartcbd.io/)
04:36:07	15868/15868	---M--	200	added ('OK')	text/css	etag:%2263e0046-3dfc-5c0d93de0201a%22	https://www.greenheartcbd.io/assets/css/cryptocoins.css	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/css/cryptocoins.css	(from https://www.greenheartcbd.io/)
04:36:07	3016/3016	---M--	200	added ('OK')	text/css	etag:%2263e003b-bc8-5c0d93de0184a%22	https://www.greenheartcbd.io/assets/owlcarousel/css/owl.carousel.min.css	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/owlcarousel/css/owl.carousel.min.css	(from https://www.greenheartcbd.io/)
04:36:07	51295/51295	---M--	200	added ('OK')	text/css	etag:%2263e0043-c85f-5c0d93de0201a%22	https://www.greenheartcbd.io/assets/css/ionicons.min.css	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/css/ionicons.min.css	(from https://www.greenheartcbd.io/)
04:36:08	1018/1018	---M--	200	added ('OK')	text/css	etag:%2263e003c-3fa-5c0d93de0184a%22	https://www.greenheartcbd.io/assets/owlcarousel/css/owl.theme.default.min.css	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/owlcarousel/css/owl.theme.default.min.css	(from https://www.greenheartcbd.io/)
04:36:08	7302/7302	---M--	200	added ('OK')	text/css	etag:%2263e003e-1c86-5c0d93de01c32%22	https://www.greenheartcbd.io/assets/css/magnific-popup.css	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/css/magnific-popup.css	(from https://www.greenheartcbd.io/)
